1.23更新,#genre#
星空卫视,http://159.75.85.63:8765/telegram@feiyangdigital-xingkong.m3u8 

广东体育,http://159.75.85.63:8765/telegram@feiyangdigital-gdty.m3u8 

翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8 

明珠台,http://159.75.85.63:8765/telegram@feiyangdigital-mingzhu.m3u8 
稳定,#genre#
寰宇新聞,http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/huanyuxinwen_twn/playlist.m3u8
龍華經典臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/lunghuajingdian_twn/playlist.m3u8
非凡新聞臺[1920*1080],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/feifannews_twn/playlist.m3u8
阿里郎Arirang[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/arirang_twn/playlist.m3u8
美亞電影[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8
愛爾達影劇臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/eltayingju_twn/playlist.m3u8
愛爾達體育2臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/eltasport2_twn/playlist.m3u8
愛爾達體育1臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/eltasport_twn/playlist.m3u8
湖北衛視[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/hubei/playlist.m3u8
浙江衛視（備用）[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/zhejiang_twn/playlist.m3u8
浙江衛視Zhejiang[720*540],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/Zhejiang/playlist.m3u8
江蘇衛視（備份）[1024*576],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/jiangsu_twn/playlist.m3u8
民視新聞臺FTVNews[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ftvnew_taiwan/playlist.m3u8
星衛電影[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/xingwei_movie/playlist.m3u8
廣東衛視[864*576],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/guangdongweishi_twn/playlist.m3u8
四川衛視[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/sichuan_twn/playlist.m3u8
雙星ShuangXing[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/Shuangxing/playlist.m3u8
博斯高球2HD[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/bosigolf2_twn/playlist.m3u8
博斯運動2[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/bosisport2_twn/playlist.m3u8
博斯無限[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/bosiunlimited_twn/playlist.m3u8
華麗臺HD（WahLaiToi）[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/Wlt/playlist.m3u8
北京衛視[1024*576],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/beijing/playlist.m3u8
鳳凰衛視[1920*1080],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/phoenixtv_hd/playlist.m3u8
公視CTV[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ctv_taiwan/playlist.m3u8
八大綜合GTVMetro[1920*1080],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/badazhonghe/playlist.m3u8
中視新聞臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/zhongshinews_twn/playlist.m3u8
中視HD[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/zhongshihd_twn/playlist.m3u8
中天新聞HD[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ctinews/playlist.m3u8
中天亞洲臺[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ctiasia_twn/playlist.m3u8
東森財經新聞ETTVBusiness[1280*720],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ettvcaijing_twn/playlist.m3u8
東森洋片ETTVWestern[1920*1080],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/ettvwestern/playlist.m3u8
東森幼幼YoyoTV[1920*1080],http://137.175.36.206/bc.php?playurl=http://137.175.36.206:8188/yoyo_twn/playlist.m3u8
